Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
36172873,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36173122,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36173372,00000620,false,Rx,1,8,2D,77,00,00,00,00,0A,0B,
36173600,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36182267,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36192295,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36202623,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36212153,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36222639,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36232656,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36242673,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36252649,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36262179,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36272156,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36272391,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36272630,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36272878,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36273126,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36273366,00000620,false,Rx,1,8,72,78,00,00,00,00,0A,0B,
36273604,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36282261,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36292289,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36302618,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36312157,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36322644,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36332661,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36342669,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36352656,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36362176,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36372151,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36372387,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36372635,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36372873,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36373122,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36373372,00000620,false,Rx,1,8,0B,78,00,00,00,00,0A,0B,
36373599,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36382268,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36392295,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36402623,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36412152,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36422649,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36432666,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36442675,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36452651,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36462173,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36472158,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36472393,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36472631,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36472880,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36473128,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36473367,00000620,false,Rx,1,8,0C,78,00,00,00,00,0A,0B,
36473605,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36482263,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36492293,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36502620,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36512151,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36522645,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36532662,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36542669,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36552656,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36562177,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36572152,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36572388,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36572636,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36572875,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36573123,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36573373,00000620,false,Rx,1,8,21,78,00,00,00,00,0A,0B,
36573602,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36582271,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36592299,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36602628,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36612158,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36622654,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36632662,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36642669,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36652657,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36662177,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36672163,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36672398,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36672637,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36672885,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36673133,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36673374,00000620,false,Rx,1,8,22,78,00,00,00,00,0A,0B,
36673612,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36682269,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36692296,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36702625,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36712154,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36722650,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36732666,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36742674,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36752661,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36762183,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36772158,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36772394,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36772632,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36772880,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36773129,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36773369,00000620,false,Rx,1,8,25,78,00,00,00,00,0A,0B,
36773607,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36782266,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36792303,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36802624,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36812152,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36822649,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36832667,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36842676,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36852661,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36862183,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36872158,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36872394,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36872643,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36872881,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36873130,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36873379,00000620,false,Rx,1,8,2C,78,00,00,00,00,0A,0B,
36873617,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36882276,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36892294,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36902623,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36912162,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36922656,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36932664,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36942682,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36952659,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36962180,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36972157,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36972392,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
36972640,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
36972879,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
36973127,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
36973378,00000620,false,Rx,1,8,2D,78,00,00,00,00,0A,0B,
36973607,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
36982277,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
36992304,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37002633,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37012164,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37022649,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37032666,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37042674,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37052661,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37062183,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37072168,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37072393,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
37072641,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
37072890,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
37073138,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
37073377,00000620,false,Rx,1,8,72,78,00,00,00,00,0A,0B,
37073617,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
37082273,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37092303,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37102632,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37112162,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37122657,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37132665,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37142682,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37152658,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37162189,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37172163,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37172398,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
37172638,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
37172886,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
37173134,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
37173374,00000620,false,Rx,1,8,0B,78,00,00,00,00,0A,0B,
37173612,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
37182271,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37192298,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37202627,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37212156,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37222661,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37232670,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37242687,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37252663,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37262183,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37272168,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37272404,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
37272642,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
37272890,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
37273139,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
37273378,00000620,false,Rx,1,8,0C,78,00,00,00,00,0A,0B,
37273616,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
37282273,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37292302,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37302630,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37312161,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37322656,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37332674,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
37342683,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
