Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
145304494,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
145402052,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
145402307,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145402556,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145402795,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145403044,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145403292,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
145403530,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145403780,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
145404008,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,25,
145404257,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
145404495,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
145503057,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
145503301,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145503549,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145503790,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145504038,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145504286,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
145504525,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145504775,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
145505013,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,2D,
145505253,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
145505491,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
145603056,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
145603311,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145603550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145603799,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145604048,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145604287,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
145604535,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145604784,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
145605013,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,2D,
145605262,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
145605500,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
145703056,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
145703301,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145703550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145703799,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145704048,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145704286,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
145704534,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145704773,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
145705012,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,25,
145705251,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
145705499,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
145803056,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
145803312,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145803560,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145803799,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145804049,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145804286,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
145804535,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145804775,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
145805013,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,25,
145805262,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
145805501,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
145903058,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
145903302,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
145903551,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
145903791,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
145904039,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
145904287,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
145904526,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
145904776,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
145905003,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,72,
145905253,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
145905491,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
146003062,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146003306,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
146003556,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146003805,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146004053,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146004291,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146004530,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
146004780,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
146005018,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,72,
146005257,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
146005495,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
146103062,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146103296,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146103545,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146103784,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146104032,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146104282,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146104509,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146104758,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
146104998,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,0C,
146105236,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146105464,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146203061,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146203297,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146203545,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146203794,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146204043,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146204281,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146204529,0000054A,false,Rx,1,8,00,00,00,00,00,00,00,00,
146204769,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146205018,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
146205246,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,0C,
146205484,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146205723,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146303062,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146303296,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146303544,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146303793,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146304043,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146304281,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146304518,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146304759,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
146304997,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,22,
146305235,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146305464,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146403062,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146403306,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146403554,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146403795,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146404043,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146404282,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146404521,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146404771,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
146404998,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,22,
146405238,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146405476,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146503057,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146503301,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146503550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146503789,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146504037,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146504287,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146504514,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146504763,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
146504991,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,2D,
146505231,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146505469,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146603067,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146603301,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146603550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146603801,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146604049,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146604288,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146604516,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146604765,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
146605004,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,2D,
146605242,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146605480,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146703067,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146703302,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146703550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146703789,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146704038,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146704287,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146704514,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146704765,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
146705003,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,0B,
146705241,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146705469,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146803067,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146803301,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146803549,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146803800,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146804048,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146804286,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146804524,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146804764,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
146805002,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,0B,
146805240,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146805479,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
146903067,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
146903301,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
146903549,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
146903790,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
146904038,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
146904287,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
146904516,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
146904765,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
146905003,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,21,
146905242,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
146905480,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
147003067,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
147003301,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
147003550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
147003801,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
147004049,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
147004288,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
147004526,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
147004765,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
147005003,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,21,
147005243,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
147005480,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
147103067,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
147103301,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
147103550,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
147103799,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
147104048,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
147104287,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
147104525,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
147104764,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
147105003,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,25,
147105241,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
147105479,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
147203066,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
147203312,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
147203560,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
147203799,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
147204048,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
147204286,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
147204534,0000054A,false,Rx,1,8,00,00,00,00,00,00,00,00,
147204775,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
147205023,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
147205251,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,25,
147205490,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
147205728,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
147303061,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
147303305,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
147303553,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
147303794,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
147304042,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
147304290,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
147304518,00000588,false,Rx,1,8,13,0D,00,BC,02,18,0E,01,
147304768,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
147305006,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,72,
147305244,000005AE,false,Rx,1,8,00,02,18,06,0C,00,0E,01,
147305473,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,BC,02,
147403074,00000670,false,Rx,1,8,00,00,00,00,B0,1A,22,00,
147403308,000004E0,false,Rx,1,8,5E,01,5E,01,00,00,00,0A,
147403556,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
147403807,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
147404055,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
147404293,00000542,false,Rx,1,8,09,01,30,00,00,00,00,00,
