Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
142988238,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142988332,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142988550,00000523,false,Tx,0,8,00,00,00,00,00,00,00,01,
142996910,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
142997404,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142997487,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143007586,00000200,false,Tx,0,8,00,00,00,00,80,10,16,86,
143007773,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143008006,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143016990,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
143018097,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143018222,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143027016,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
143027318,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143028010,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143037888,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
143038081,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143038310,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143048108,00000200,false,Tx,0,8,00,00,00,00,80,10,1E,8E,
143048323,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143048545,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143056985,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
143057622,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143057791,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143068285,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
143068480,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143068643,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143078199,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
143078404,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143078648,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143088677,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
143088871,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143089136,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143089310,00000523,false,Tx,0,8,00,00,00,00,00,00,00,02,
143098507,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
143098755,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143098963,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143107269,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
143107629,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143108142,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143118011,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
143118213,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143118375,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143128341,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
143128534,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143128775,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143142992,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
143143199,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143143432,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143159784,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
143159974,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143160242,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143166972,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
143167193,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143167396,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143177029,00000200,false,Tx,0,8,00,00,00,00,80,10,16,86,
143177221,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143177469,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143187064,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
143187260,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143187513,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143197578,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
143198559,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143198818,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143199034,00000523,false,Tx,0,8,00,00,00,00,00,00,00,03,
143207097,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
143207279,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143207540,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143217008,00000200,false,Tx,0,8,00,00,00,00,80,10,1E,8E,
143217212,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143217430,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143227034,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
143227225,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143227512,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143238511,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
143238715,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143238959,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143246967,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
143247179,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143247396,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143257017,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
143257210,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143257497,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
